text,label
用了一段时间感觉还不错可以,0
电视非常好已经是家里的第二台了第一天下单第二天就到本地了可是物流的人说车坏了一直催客服也帮着催到第三天下午点才送过来父母年纪大了买个大电视画面清晰趁着耳朵还好使享受几年,0
电视比想象中的大好多画面也很清晰系统很智能更多功能还在摸索中,0
不错,0
用了这么多天了感觉还不错夏普的牌子还是比较可靠希望以后比较耐用现在是考量质量的时候,0
物流速度很快非常棒今天就看了电视非常清晰非常流畅一次非常完美的购物体验,0
非常好客服还特意打电话做回访,0
物流小哥不错辛苦了东西还没用,0
送货速度快质量有保障活动价格挺好的希望用的久不出问题,0
非常漂亮也非常清晰反应速度也快,0
很不错家里都喜欢一次买了三台,0
送货非常快质量非常好这次购物非常愉快,0
好大都不错看质量咯,0
物流很快物有所值值得信赖依旧会关顾谢谢商家,0
这价钱超值收到货马上装上看了一下很清晰式样也蛮好赞赞,0
目前感受还不错,0
速度快服务态度很好,0
挺好的物流也快两天就到了,0
发货速度快,0
送货很快安装服务也很好,0
质量很好物流服务到位,0
看这款确实比普通屏好很多感觉比较明显价格的话双搞活动比较给力就是百视通的资源与腾讯视频比还是有点差距客户自己装一个,0
便宜能用这个价格可以,0
给我妈买的妈妈很开心说很好说快递小哥态度很好给好评,0
性价比极高的一款电视机值得拥有,0
电视不错晒单收起向左转向右转,0
还不错啊高端大气上档次外观喜欢,0
还不错,0
这台电视是给远在家乡的父母买的父母年纪大了这种简单的操作系统比较适合他们搞活动半夜下的单子第二天就送到了安装简单系统运行速度也很快各种类别节目都很齐全清晰度很好父母反应很满意,0
蛮好的物美价廉我同事看我买了也买了两台还包上门安装,0
挺好的就是感觉买小了应该买寸的,0
不错很好,0
相信日本品牌品质放心,0
好一次不错的选择非常清楚非常好,0
给奶奶买的奶奶很喜欢送货的服务也不错哦,0
挺不错的画面清晰外观既好看又时尚,0
给老爸卧室买的质量很不错第一次买夏普网络直接连接送了一年的爱奇艺不错,0
给姑姑买的卧室电视不错哦上门安装加挂架多付而已姑姑很满意,0
服务很好,0
价格便宜性价比挺好刚刚开始用,0
电视收到了很好质量好色彩也好安装师傅也有耐心棒棒,0
电视不错屏幕够大,0
电视到货很久了今天才安装好很激动效果很好京东物流也很给力必须给五分,0
还不错,0
宝贝收到了发货速度很快价格实惠包装完整非常满意,0
京东家电正品低价服务到家,0
京东值得信赖,0
寸你想象不的视觉体验操作界面简单遥控的语音识别很是不错影片库也很全从最新的到最热的从此爱上看电视,0
为电视的问题考虑了半天从换到三星最终选择了索尼没有和的电视以后必然难以支持帧的视频这个价位选索尼没毛病,0
团购比平时便宜元抵,0
快递物流好自行安装底座很方便由于不是高清机顶盒缘故接有线电视图像一般其他图像非常好投屏功能很好用操作界面整洁把新电视屏幕的保护膜撕掉画面十分鲜艳连接后测试了一下很满意非常愉快的一次网购体验晒单收起向左转向右转,0
电视相当不错月号下的单号下午收到的足以证明火爆程度总结了以下几点一全金属机身后面塑料视觉无边框我比较喜欢无边界方显大视野核处理器配置好电视才能运行快虽说内存不是很大剩余内存不到个应该也够用二电视外表整体做工还行拥有技术广色域技术色彩好拥有技术广色域技术画质清晰音质也还好杜比解码解码立体环绕音效搭载酷开系统三对比很多其他电视只有屏幕和资源拿的出手防抖什么的就绝口不提反而创维能在这个价位加上相当良心所以还是选了创维四电视也今年月份刚上市虽说对电视没有多大了解都是网上查看电视用的也是去年新出至于好坏我也不懂看了很多大家可以自己查看五对供应商客服很满意纠结了好几天有什么问题都问到供应商客服而且每次都是耐心及时给回答对于这点体验很好相信售后也很给力的安装也相当给力当天下午到货晚上就装上了还免安装费,0
此用户未及时评价系统默认好评--追加很清晰音质很好,0
外观很漂亮画质和声音都非常不错,0
安装完成开始用起来感觉还不错,0
电视很完美看起来也很漂亮边框窄整体观看效果比普通的电视好很多安装师傅很给力送货师傅也很给力五星好评,0
非常不错的电视机价格也便宜飞利浦大品牌,0
很好送货很快满意,0
一如既往的好评拍来送人的朋友很满意,0
还不错哦送货很快提前一天就送来了,0
不得不佩服京东的配送速度太快了现在基本都在京东买了又便宜又好,0
物美价廉,0
超高性价比性价比简直是无敌虽然造工比不上大品牌但价格低啊找不到比这便宜的了不过想看的都要会员啊晒单送我年会员试试看好啦,0
双十一的时候给自家买了台邻居看到后很喜欢双十二让我帮他买了台的还不错支持暴风,0
值得购买,0
性价比很高,0
不错,0
非常好好评,0
宝贝很好哟买之前一直担心电视的质量问题用了一段时间后才明白那是多余的担心质量没有任何问题杠杠的值得信赖,0
老品牌我信任看着不错啊,0
很轻感觉挺单薄不过价格也便宜对得起这个价格了,0
送货快服务及时态度很好非常满意,0
月日零点抢的月日中午前就送到刚买完的第二天早上点半就有客服打电话过来确认订单的情况及物流的时间选择发送虽然时间太早但还是感觉很贴心第二收到货后马上打创维的客服热线下午点左右不到就家来安装完毕整个购物体验非常棒安装的师付也说这电视不错就是后来加了一条创维的原厂线元的高清线以前机顶盒不是高清线所以我还是给了分,0
飞利浦的电器不用说质量杠杠的,0
东西不错值得拥有,0
送给姐姐乔迁新居的礼物今天到货并安装好了京东服务非常细心电视也完好正常姐姐很满意,0
画面清楚质量保证,0
画面清晰师傅安装很好很快满意,0
双元买的价格实惠能用就行,0
显示效果很棒音质一般般放在店里用屏幕大性价比还可以吧虽然别其他品牌的贵一点但资源多整体做工一般塑料感挺强的家里用的话不建议这款接口比较丰富整体中规中矩晒图的视频是超清画质开启杜比音效的效果供大家参考晒单收起向左转向右转,0
挺好的,0
东西不错就是货运特别慢多次打电话才送到,0
挺好的,0
老家乡里的电视被小娃娃弄坏了一直都想换一个新电视在京东上看了又看等到双十一的时候也没下手心里还有些后悔直到前几天看到风行电视在搞活动果断下单昨晚师傅送货到家安装好了电视效果不错清晰声音洪亮物美价廉希望风行能够越做越好越做越大,0
刚开箱试机屏幕质地很好画面清淅度高功能很全这个价格很值了,0
便宜实惠就是色彩的鲜艳度差了点如果要求不高还是可以接受的,0
还是不错的反应还是比较快的晒单收起向左转向右转--追加电视外观挺不错的玫瑰金的边框彰显美感电视遥控操作起来也很方便遥控器不错比较灵敏还会继续购买收起向左转向右转,0
正品很好经常买,0
不错,0
还不错性价比挺高的,0
果然超薄也没有太多发热双十二下单除了送货时间久点其他都不错,0
不错,0
电视不错大品牌没问题比较清晰,0
使用了两周效果不错,0
物流就是赞服务态度好开箱检查确保没问题已上电测试没问题清晰度好,0
电视还没安装等待安装不过看着挺好的,0
确实是没有辜负期望值得购买信赖大,0
给父母买的还不错不亏是小米,0
物流可以装机也快捷不错,0
快递送货快售后服务态度很好安装师傅上门安装耐心细致讲解疑问电视清晰度高音质不错暂时没有发现问题,0
相信创维的品质所以购买收到货比较满意边缘即使有一点没有全屏不影响视觉取出电视后会有指纹留在电视屏幕上面一般的布可以擦处比电脑屏幕容易擦拭其实可以打包出售贴膜这样小孩子不会好奇一直留指纹到屏幕上擦拭更容易遥控比较好用不看说明书都会使用了这一点出比我想象的好视觉满意在意听觉效果的需要加上音响本来担心电视会碎屏收快递现场验货没有这个问题满意的一次购物,0
电视机不错就是买小了夏普是没有退换这一说的除非是大问题让师傅开签定单自己的原因莫得法子服务和性能肯定都是好评的相信京东全部的大件都是京东自营东继续加油哦懒得拍照片就只拍了一下空调的嘿嘿,0
值得购买功能强大效果非常不错,0
